Cidade,CodigoDaCidade,Data,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
Aparecida,3502507,2022-09-04,Sao Paulo,Brazil,-22.83,-45.23,15.9,14.0,15.2,Sim,87,Possibilidade de chuva irregular,06:08 AM,05:52 PM,6.8
Aparecida,3502507,2022-09-05,Sao Paulo,Brazil,-22.83,-45.23,26.8,12.6,17.6,Sim,84,Possibilidade de chuva irregular,06:07 AM,05:52 PM,9.4
Aparecida,3502507,2022-09-06,Sao Paulo,Brazil,-22.83,-45.23,29.0,13.6,18.5,Sim,81,Possibilidade de chuva irregular,06:06 AM,05:52 PM,14.8
Aparecida,3502507,2022-09-07,Sao Paulo,Brazil,-22.83,-45.23,30.0,12.3,19.0,Não,67,Possibilidade de chuva irregular,06:05 AM,05:53 PM,20.9
Aparecida,3502507,2022-09-08,Sao Paulo,Brazil,-22.83,-45.23,36.7,11.1,22.0,Sim,73,Possibilidade de chuva irregular,06:04 AM,05:53 PM,15.1
Caçapava,3508504,2022-09-04,Sao Paulo,Brazil,-23.1,-45.72,14.8,10.5,12.8,Sim,84,Possibilidade de chuva irregular,06:10 AM,05:54 PM,7.9
Caçapava,3508504,2022-09-05,Sao Paulo,Brazil,-23.1,-45.72,26.6,10.7,16.3,Sim,89,Possibilidade de chuva irregular,06:09 AM,05:54 PM,15.8
Caçapava,3508504,2022-09-06,Sao Paulo,Brazil,-23.1,-45.72,29.2,14.4,18.0,Sim,89,Possibilidade de chuva irregular,06:08 AM,05:54 PM,12.2
Caçapava,3508504,2022-09-07,Sao Paulo,Brazil,-23.1,-45.72,30.1,11.9,18.0,Sim,81,Chuva moderada,06:07 AM,05:55 PM,23.4
Caçapava,3508504,2022-09-08,Sao Paulo,Brazil,-23.1,-45.72,36.0,12.5,22.3,Não,68,Possibilidade de chuva irregular,06:06 AM,05:55 PM,12.6
Lavrinhas,3526605,2022-09-04,Goias,Brazil,-14.97,-49.3,36.2,19.9,27.5,Não,0,Sol,06:20 AM,06:11 PM,11.5
Lavrinhas,3526605,2022-09-05,Goias,Brazil,-14.97,-49.3,36.6,21.1,28.4,Não,0,Sol,06:19 AM,06:11 PM,19.4
Lavrinhas,3526605,2022-09-06,Goias,Brazil,-14.97,-49.3,36.2,23.7,29.0,Não,0,Sol,06:18 AM,06:11 PM,24.8
Lavrinhas,3526605,2022-09-07,Goias,Brazil,-14.97,-49.3,37.3,22.8,29.3,Não,0,Sol,06:17 AM,06:11 PM,21.6
Lavrinhas,3526605,2022-09-08,Goias,Brazil,-14.97,-49.3,38.4,22.8,30.3,Não,0,Sol,06:17 AM,06:11 PM,15.8
Ilhabela,3520400,2022-09-04,Sao Paulo,Brazil,-23.78,-45.35,17.0,14.9,16.2,Sim,99,Chuva moderada,06:10 AM,05:52 PM,17.6
Ilhabela,3520400,2022-09-05,Sao Paulo,Brazil,-23.78,-45.35,20.5,16.3,18.2,Sim,83,Possibilidade de chuva irregular,06:09 AM,05:52 PM,13.7
